iter	Passed	Remaining
398	270461	68462
399	271078	67769
400	271807	67104
401	272465	66421
402	273260	65772
403	273956	65098
404	274673	64429
405	275272	63733
406	275838	63029
407	276594	62369
408	277287	61694
409	277762	60972
410	278499	60307
411	279257	59647
412	279973	58977
413	280782	58326
414	281528	57662
415	282297	57002
416	283070	56342
417	283770	55667
418	284531	55004
419	285131	54310
420	285873	53643
421	286497	52954
422	287099	52261
423	287759	51579
424	288603	50930
425	289490	50287
426	290096	49594
427	290915	48939
428	291724	48280
429	292443	47607
430	293193	46938
431	293899	46261
432	294320	45541
433	294912	44848
434	295332	44130
435	295753	43413
436	296179	42698
437	296776	42009
438	297216	41298
439	297868	40618
440	298465	39930
441	299098	39248
442	299726	38565
443	300462	37896
444	301172	37223
445	301883	36550
446	302355	35849
447	303090	35180
448	303525	34476
449	303943	33771
450	304363	33068
451	304832	32371
452	305303	31676
453	305782	30982
454	306475	30310
455	307022	29624
456	307684	28950
457	308299	28272
458	308909	27593
459	309604	26922
460	310198	26242
461	310937	25574
462	311626	24903
463	312310	24230
464	312870	23549
465	313590	22879
466	314049	22191
467	314481	21502
468	315088	20826
469	315712	20151
470	316178	19467
471	316758	18790
472	317242	18108
473	317660	17424
474	318157	16745
475	318736	16070
476	319632	15412
477	320368	14744
478	321127	14078
479	321840	13410
480	322520	12739
481	323134	12067
482	323895	11400
483	324659	10732
484	325265	10059
485	325677	9381
486	326395	8712
487	326811	8036
488	327225	7360
489	327819	6690
490	328526	6021
491	329224	5353
492	329929	4684
493	330812	4017
494	331573	3349
495	332273	2679
496	332819	2008
497	333492	1339
498	334229	669
499	334831	0
