iter	Logloss
0	0.1540037925
1	0.09474892736
2	0.08113303606
3	0.07614706809
4	0.07512472931
5	0.07406666677
6	0.07340027778
7	0.07293701956
8	0.07261261234
9	0.07230912018
10	0.07204746231
11	0.07166553882
12	0.0714145679
13	0.07125508735
14	0.07110348351
15	0.07101458617
16	0.07092220234
17	0.07083134703
18	0.07075438533
19	0.07065718567
20	0.07058168055
21	0.07046698571
22	0.07040389227
23	0.07026470689
24	0.07019672359
25	0.0701356864
26	0.07005492716
27	0.06992122545
28	0.06984803899
29	0.06979721947
30	0.06972183258
31	0.0696714125
32	0.06962726954
33	0.06959172266
34	0.06952900925
35	0.06948878801
36	0.0694269477
37	0.06936940008
38	0.06931157573
39	0.06927761104
40	0.06923435441
41	0.0691988477
42	0.06914678253
43	0.06912345776
44	0.06908911676
45	0.06905399195
46	0.06902192454
47	0.06897381026
48	0.06893088492
49	0.06887620118
50	0.06883639811
51	0.06879705522
52	0.06874759052
53	0.06871703273
54	0.06869101481
55	0.06864885062
56	0.06861222295
57	0.06858502681
58	0.06856081461
59	0.06854156563
60	0.06851107049
61	0.06848814903
62	0.06845416252
63	0.06842618391
64	0.06839912649
65	0.06838277005
66	0.06836491086
67	0.06833451806
68	0.06833410032
69	0.06831366931
70	0.06830592045
71	0.06829004786
72	0.06824750233
73	0.06822575931
74	0.06817959888
75	0.06814724548
76	0.06812560764
77	0.06812461637
78	0.06809863468
79	0.06809856139
80	0.06809854096
81	0.06808611879
82	0.06807068506
83	0.06805791897
84	0.06803734401
85	0.06800835609
86	0.06799526041
87	0.06798000206
88	0.06795196638
89	0.06792550934
90	0.06788660925
91	0.06786589346
92	0.06785550714
93	0.06784906188
94	0.06783912985
95	0.06781675611
96	0.06776537391
97	0.06774909355
98	0.06774907183
99	0.06774906854
100	0.06770081808
101	0.06767860385
102	0.06766359479
103	0.06764402356
104	0.06761807989
105	0.06761795435
106	0.06760732867
107	0.06759043024
108	0.06757347057
109	0.06755894388
110	0.06754199634
111	0.06752630298
112	0.06752453063
113	0.06751952312
114	0.06749894637
115	0.06747692111
116	0.06746680345
117	0.06745809483
118	0.06744522608
119	0.06743293217
120	0.06741848756
121	0.06739479948
122	0.06737449556
123	0.06735622268
124	0.067337169
125	0.06733702998
126	0.06732386659
127	0.06731125251
128	0.06729730884
129	0.06729727232
130	0.06727572799
131	0.06726647481
132	0.06724962248
133	0.06723394329
134	0.06722111361
135	0.06720286474
136	0.06718797445
137	0.06717760853
138	0.06716375864
139	0.06715391499
140	0.06714136628
141	0.06714134678
142	0.06714132704
143	0.06713550108
144	0.06711728724
145	0.06710160891
146	0.06709196006
147	0.06708294576
148	0.06706846724
149	0.06706833281
150	0.06706826072
151	0.06706425258
152	0.06706422942
153	0.06706399641
154	0.06706398741
155	0.06706251298
156	0.06704546855
157	0.06704537914
158	0.06703518321
159	0.06703514818
160	0.06703404851
161	0.0670257351
162	0.06702464585
163	0.06700986476
